model,average_mae,average_r2,homo_mae,homo_r2,lumo_mae,lumo_r2,gap_mae,gap_r2
SchNet_3D_alone,0.1492,0.8942,,,,,,
Tuned_LGBM_alone,0.1596,0.8853,,,,,,
LGBM+SchNet_features,0.15943076685902757,0.8840221853884681,0.13610067392845818,0.8498870079098468,0.14677108472692302,0.9221334839008926,0.19542054192170158,0.880046064354665
Ridge_stack(LGBM+XGB+SchNet),0.15433068588734075,0.8912024164336897,0.13383128166108121,0.8566169525258714,0.14283745069792353,0.926242130945729,0.18632332530301748,0.8907481658294686
Blend(LGBM*1.00+SchNet*0.00),0.15746737255945628,0.8864905264914383,0.1357015025437185,0.8523906783739184,0.1439693684363039,0.9250372666188335,0.19273124669834646,0.8820436344815633
