model,homo_mae,homo_rmse,homo_r2,lumo_mae,lumo_rmse,lumo_r2,gap_mae,gap_rmse,gap_r2,average_mae,average_rmse,average_r2
Ridge_stack_3model,0.11665991147607353,0.16307199720242938,0.8917022914544638,0.11777401359295603,0.17104223895607149,0.951007080393872,0.16025504922987985,0.23118976693471943,0.9202408573168763,0.1315629914329698,0.18843466769774012,0.9209834097217374
PerTarget_Ridge_stack,0.11665991147607353,0.16307199720242938,0.8917022914544638,0.11777401359295603,0.17104223895607149,0.951007080393872,0.16025504922987985,0.23118976693471943,0.9202408573168763,0.1315629914329698,0.18843466769774012,0.9209834097217374
PerTarget_blend_LGBM_SchNet,0.1175859095461858,0.1682236864507836,0.8847516334044806,0.11996867026652959,0.17456659805870042,0.9489672617037754,0.16199075762684068,0.23889122407072272,0.9148384309647488,0.1331817791465187,0.19389383619340225,0.9161857753576683
LGBM_with_SchNet_features,0.12003558593625309,0.17174117557600557,0.8798816522312192,0.12472386497765531,0.18213015957463105,0.9444492008071134,0.16785221164156994,0.24881910291486384,0.9076130344869029,0.1375372208518261,0.20089681268850015,0.910647962508412
SchNet_tuned_alone,0.12371011078357697,0.1797671141680891,0.8683924078941345,0.1279236227273941,0.18734979573628857,0.9412195086479187,0.172520250082016,0.26028674063477214,0.8989008665084839,0.14138466119766235,0.2091345501797166,0.9028375943501791
LGBM_tuned_alone,0.13136819917100767,0.18411253274410258,0.8619529304240346,0.13876368920055757,0.20182680779590687,0.9317843098030468,0.18463508571675738,0.2632139245603777,0.8966141782351278,0.15158899136277418,0.21638442170012903,0.8967838061540698
