model,split,homo_mae,homo_rmse,homo_r2,lumo_mae,lumo_rmse,lumo_r2,gap_mae,gap_rmse,gap_r2,average_mae,average_rmse,average_r2
ridge,valid,0.2735975682735443,0.3653551197888271,0.6942585706710815,0.32192352414131165,0.44161032288815405,0.8501269817352295,0.42853736877441406,0.5750309137658798,0.8195815086364746,0.34135282039642334,0.46066545214762034,0.7879890203475952
ridge,test,0.2169334888458252,0.2789512042406437,0.7931920289993286,0.26479774713516235,0.33751420459172055,0.8819899559020996,0.32909122109413147,0.42347206593999204,0.627255916595459,0.270274152358373,0.3466458249241187,0.7674793004989624
lightgbm,valid,0.21867165260908117,0.29025656491035656,0.8070307614369052,0.2278979950959132,0.312435318696644,0.9249820394507147,0.3018270903061909,0.40091644630564083,0.9122986331406593,0.2494655793370618,0.3345361099708805,0.881437144676093
lightgbm,test,0.16935224801321946,0.21699001813259414,0.8748616898073253,0.1932127746640068,0.25368718278603297,0.9333297880337024,0.23699252998416911,0.3081205843359247,0.8026656839396529,0.19985251755379843,0.25959926175151726,0.8702857205935602
