model,split,homo_mae,homo_rmse,homo_r2,lumo_mae,lumo_rmse,lumo_r2,gap_mae,gap_rmse,gap_r2,average_mae,average_rmse,average_r2,evaluation
lightgbm,test,0.1441133806404179,0.2099329759966205,0.8708507079002172,0.1588130022997528,0.2334464260797584,0.9345819407909564,0.1980610488007539,0.302836876729867,0.8996652713321742,0.1669958105803082,0.2487387596020819,0.9016993066744492,random_split
lightgbm,test,0.16935224801321946,0.21699001813259414,0.8748616898073253,0.1932127746640068,0.25368718278603297,0.9333297880337024,0.23699252998416911,0.3081205843359247,0.8026656839396529,0.19985251755379843,0.25959926175151726,0.8702857205935602,scaffold_split
