confidence_bin,n,average_abs_error,average_model_disagreement,applicability_distance,homo_mae,homo_disagreement,lumo_mae,lumo_disagreement,gap_mae,gap_disagreement
high,335,0.09938840142607679,0.032800577753445186,2.997910902037549,0.085006323327949,0.029730680532720585,0.0921292757518097,0.03090975604008813,0.12102960519847163,0.03776129668752685
medium,332,0.1714742379103069,0.06275525661629784,7.263413961034224,0.1519166312507758,0.06059110368695956,0.15016588741413614,0.05715711703017733,0.21234019506600874,0.0705175491317566
low,333,0.23054429164069262,0.11822579222215276,10.475486751075264,0.19579561786876112,0.11185991906445895,0.23451837928349367,0.11610116497455007,0.26131887776982293,0.1267162926274493
