model,homo_mae,homo_rmse,homo_r2,lumo_mae,lumo_rmse,lumo_r2,gap_mae,gap_rmse,gap_r2,average_mae,average_rmse,average_r2
xgboost,0.13173040747642517,0.18450354322078297,0.890505313873291,0.14329460263252258,0.20736349185768707,0.9468211531639099,0.18124613165855408,0.26676694051386574,0.9160950183868408,0.15209038058916727,0.21954465853077862,0.9178071618080139
per_target_lgbm,0.13448524475097656,0.18365955188126923,0.8915047645568848,0.14720989763736725,0.20804695871418075,0.9464700222015381,0.17972354590892792,0.2640955452867577,0.9177671074867249,0.15380622943242392,0.21860068529406926,0.9185806314150492
tuned_lgbm,0.13390180270428859,0.18320482174311056,0.8920413701206203,0.14863605454265796,0.2087015942177504,0.9461326157868344,0.1856437553876853,0.26923501835749597,0.9145353313884977,0.15606053754487728,0.22038047810611897,0.9175697724319841
stacking,0.13530698418617249,0.1844568559817803,0.8905607461929321,0.1493537724018097,0.2055454198132588,0.9477495551109314,0.18692052364349365,0.2708169155768909,0.9135280847549438,0.1571937600771586,0.22027306379064335,0.9172794620196024
catboost,0.1469107010855029,0.1960973041686708,0.8763122152017523,0.1662339183485653,0.22794672592654347,0.9357399482326361,0.20892030068665635,0.29331653930772367,0.8985629465739813,0.17402164004024154,0.2391201898009793,0.9035383700027898
dart_lgbm,0.35050181583180134,0.40206864495872263,0.48002318738668637,0.20386077913072498,0.2746745644640874,0.9066936409735267,0.36889540815346894,0.44494488325795456,0.7665811342989369,0.3077526677053318,0.3738960308935882,0.71776598755305
