target,mae,rmse,r2
homo,0.14411338064041795,0.2099329759966205,0.8708507079002172
lumo,0.15881300229975284,0.2334464260797584,0.9345819407909564
gap,0.19806104880075395,0.302836876729867,0.8996652713321742
