target,feature,importance_gain,importance_split
homo,desc_ExactMolWt,16.889802362769842,5
homo,desc_fr_ketone_Topliss,16.87289898842573,31
homo,desc_fr_para_hydroxylation,16.786334393545985,44
homo,desc_PEOE_VSA13,16.212801977992058,21
homo,desc_HeavyAtomMolWt,15.761667419224977,48
homo,morgan_1722,15.70141377300024,25
homo,morgan_1783,15.609309256076813,6
homo,desc_Phi,15.517426487058401,57
homo,desc_fr_benzene,15.387751661241055,2
homo,morgan_1101,15.111738294363022,10
homo,morgan_432,14.802914194762707,12
homo,desc_fr_Ar_COO,14.540633857250214,11
homo,morgan_1480,14.197560153901577,7
homo,morgan_14,13.862689942121506,11
homo,morgan_1344,13.507397010922432,20
homo,morgan_881,12.972183533012867,13
homo,morgan_1409,12.888309955596924,3
homo,morgan_644,12.787808064371347,22
homo,morgan_1195,12.422772243618965,2
homo,morgan_1856,12.286894112825394,17
homo,morgan_1697,11.987928243353963,32
homo,desc_fr_tetrazole,11.599860936403275,7
homo,morgan_1004,11.413148321211338,23
homo,desc_SlogP_VSA3,11.190027941018343,37
homo,morgan_1088,11.084714345633984,10
homo,desc_NumAliphaticHeterocycles,10.970535293221474,13
homo,desc_fr_nitro_arom_nonortho,10.923839926719666,4
homo,morgan_1926,10.827826112508774,9
homo,desc_fr_ester,10.760034937411547,20
homo,desc_fr_NH1,10.458844356238842,14
homo,desc_PEOE_VSA12,9.983466669917107,24
homo,morgan_656,9.843572217971087,16
homo,desc_MolWt,9.791786331683397,31
homo,morgan_381,9.609486363828182,21
homo,morgan_1969,9.591015964746475,13
homo,morgan_1984,9.26974481344223,12
homo,desc_Chi1,9.179101882502437,56
homo,desc_Kappa1,9.128175839781761,54
homo,morgan_119,9.01265013217926,3
homo,desc_fr_piperzine,8.921188831329346,5
homo,morgan_488,8.71139408648014,9
homo,morgan_1791,8.622922837734222,6
homo,desc_Chi0,8.541554223746061,35
homo,morgan_1164,8.408590316772461,1
homo,morgan_121,8.351167030632496,13
homo,morgan_456,8.12697696685791,5
homo,morgan_368,8.027563996613026,15
homo,desc_Chi0v,8.026763930916786,3
homo,morgan_790,8.026562094688416,5
homo,morgan_191,7.971826985478401,11
homo,morgan_251,7.852079093456268,14
homo,morgan_180,7.815528035163879,16
homo,morgan_1005,7.7292874455451965,17
homo,morgan_352,7.507777344435453,14
homo,morgan_1334,7.47291412204504,14
homo,morgan_753,7.378620147705078,1
homo,morgan_1894,7.223018012940884,13
homo,morgan_2009,7.09377484023571,6
homo,morgan_1687,6.9505278412252665,14
homo,morgan_918,6.5537979528307915,11
homo,desc_NumRotatableBonds,6.504968553781509,26
homo,morgan_680,6.460086822509766,19
homo,morgan_69,6.439679875969887,14
homo,desc_fr_aryl_methyl,6.439132913947105,19
homo,morgan_1126,6.40325478464365,15
homo,desc_fr_imide,6.303168892860413,4
homo,morgan_1391,6.279729567468166,16
homo,morgan_1152,6.201134778559208,11
homo,desc_fr_ketone,6.197655007243156,11
homo,desc_NumSpiroAtoms,6.1684299521148205,12
homo,morgan_270,5.945718020200729,10
homo,morgan_1410,5.808676451444626,13
homo,morgan_2029,5.765332862734795,15
homo,morgan_1953,5.760094702243805,9
homo,morgan_1742,5.68024905025959,6
homo,morgan_1794,5.652460873126984,5
homo,morgan_1573,5.624514423310757,7
homo,desc_NumAliphaticRings,5.608618937432766,15
homo,morgan_1825,5.501804661005735,16
homo,desc_fr_C_O_noCOO,5.323205031454563,7
homo,morgan_1863,5.306340128183365,5
homo,morgan_1146,5.1058915592730045,13
homo,morgan_330,5.037020206451416,1
homo,desc_NumUnspecifiedAtomStereoCenters,4.957491233944893,20
homo,morgan_694,4.95697794854641,8
homo,morgan_1039,4.9553816840052605,14
