feature,total_gain
atompair_1624,21.0
morgan_1856,21.0
morgan_807,21.0
morgan_1499,21.0
desc_Chi1v,21.0
atompair_286,21.0
morgan_352,21.0
morgan_122,20.0
morgan_1017,20.0
torsion_960,20.0
morgan_1083,20.0
morgan_333,20.0
atompair_2012,20.0
torsion_176,20.0
maccs_30,20.0
maccs_80,20.0
maccs_109,20.0
desc_fr_para_hydroxylation,20.0
morgan_1618,20.0
desc_Chi3v,20.0
maccs_58,20.0
atompair_84,20.0
atompair_1082,20.0
morgan_384,19.0
atompair_780,19.0
torsion_1966,19.0
torsion_125,19.0
torsion_1936,19.0
morgan_1135,19.0
torsion_1484,19.0
atompair_664,19.0
maccs_46,19.0
atompair_893,19.0
torsion_1841,19.0
maccs_157,19.0
morgan_184,19.0
torsion_448,19.0
torsion_762,19.0
desc_fr_ketone_Topliss,19.0
atompair_550,18.0
torsion_409,18.0
torsion_521,18.0
morgan_1380,18.0
torsion_1549,18.0
morgan_803,18.0
torsion_1825,18.0
morgan_1917,18.0
maccs_150,18.0
torsion_1604,18.0
morgan_287,18.0
morgan_677,18.0
morgan_1840,18.0
atompair_1217,18.0
maccs_71,17.0
torsion_1545,17.0
morgan_1738,17.0
atompair_1724,17.0
maccs_42,17.0
morgan_1661,17.0
morgan_1011,17.0
morgan_1403,17.0
torsion_1925,17.0
atompair_332,17.0
torsion_616,17.0
desc_fr_COO,17.0
morgan_395,17.0
morgan_1504,17.0
atompair_1209,17.0
morgan_248,17.0
maccs_89,17.0
maccs_69,16.0
atompair_1084,16.0
desc_Chi0,16.0
atompair_449,16.0
morgan_745,16.0
desc_HeavyAtomMolWt,16.0
torsion_97,16.0
morgan_1409,16.0
atompair_536,16.0
morgan_145,16.0
morgan_1386,16.0
atompair_276,16.0
atompair_1218,16.0
maccs_126,16.0
morgan_37,16.0
torsion_453,16.0
atompair_973,16.0
morgan_1039,16.0
desc_NumAliphaticHeterocycles,16.0
morgan_1348,16.0
morgan_1300,16.0
torsion_412,16.0
torsion_1148,16.0
maccs_76,16.0
morgan_609,15.0
desc_NumHeterocycles,15.0
maccs_63,15.0
atompair_858,15.0
morgan_1004,15.0
torsion_698,15.0
atompair_1080,15.0
desc_fr_sulfone,15.0
morgan_992,15.0
morgan_974,15.0
morgan_1542,15.0
torsion_1096,15.0
torsion_136,15.0
morgan_1357,15.0
morgan_819,15.0
morgan_1805,15.0
maccs_116,15.0
morgan_270,15.0
morgan_1997,15.0
maccs_13,15.0
maccs_18,15.0
morgan_762,15.0
morgan_1810,15.0
morgan_935,14.0
morgan_1604,14.0
torsion_321,14.0
torsion_330,14.0
atompair_538,14.0
desc_NumAromaticCarbocycles,14.0
morgan_42,14.0
maccs_151,14.0
atompair_1305,14.0
morgan_606,14.0
desc_fr_Nhpyrrole,14.0
desc_Chi0v,14.0
torsion_1564,14.0
torsion_653,14.0
torsion_404,14.0
atompair_509,14.0
desc_SMR_VSA4,14.0
atompair_761,14.0
morgan_758,14.0
morgan_1943,14.0
torsion_1713,14.0
morgan_1770,14.0
atompair_1752,14.0
torsion_828,14.0
morgan_376,14.0
torsion_524,13.0
morgan_93,13.0
desc_fr_NH2,13.0
torsion_637,13.0
desc_fr_piperzine,13.0
atompair_17,13.0
maccs_37,13.0
morgan_1208,13.0
morgan_252,13.0
torsion_1658,13.0
atompair_1304,13.0
morgan_289,13.0
atompair_1237,13.0
torsion_1600,13.0
maccs_112,13.0
atompair_732,13.0
atompair_1042,13.0
morgan_412,13.0
torsion_988,13.0
torsion_968,13.0
atompair_1885,13.0
torsion_112,13.0
torsion_680,13.0
torsion_648,13.0
torsion_13,13.0
atompair_216,13.0
atompair_237,13.0
atompair_2032,13.0
morgan_1545,13.0
morgan_1603,13.0
morgan_1863,13.0
desc_RingCount,13.0
morgan_1164,13.0
desc_fr_phenol_noOrthoHbond,13.0
atompair_1377,13.0
atompair_1150,13.0
torsion_1341,13.0
morgan_885,13.0
maccs_61,13.0
morgan_769,13.0
morgan_653,13.0
atompair_1557,13.0
atompair_404,13.0
atompair_1277,13.0
morgan_191,12.0
morgan_1128,12.0
torsion_520,12.0
morgan_901,12.0
torsion_1020,12.0
torsion_997,12.0
torsion_1877,12.0
torsion_880,12.0
torsion_121,12.0
morgan_1473,12.0
torsion_288,12.0
torsion_1924,12.0
morgan_1297,12.0
atompair_966,12.0
morgan_1280,12.0
torsion_569,12.0
atompair_920,12.0
torsion_1860,12.0
maccs_12,12.0
morgan_1937,12.0
morgan_1993,12.0
atompair_1372,12.0
morgan_179,12.0
morgan_1985,12.0
torsion_1477,12.0
atompair_1436,12.0
morgan_1951,12.0
atompair_1536,12.0
atompair_1816,12.0
morgan_840,12.0
atompair_1626,12.0
torsion_1284,12.0
morgan_806,12.0
atompair_1188,12.0
morgan_785,12.0
morgan_1697,12.0
atompair_1168,12.0
atompair_1176,12.0
atompair_1250,12.0
maccs_52,12.0
maccs_140,12.0
torsion_1644,12.0
atompair_406,12.0
morgan_290,12.0
torsion_1680,12.0
morgan_1210,12.0
torsion_552,12.0
torsion_669,12.0
morgan_94,12.0
desc_fr_ester,12.0
desc_fr_imide,11.0
torsion_734,11.0
morgan_1264,11.0
morgan_121,11.0
torsion_763,11.0
torsion_1970,11.0
maccs_149,11.0
torsion_240,11.0
morgan_389,11.0
torsion_825,11.0
morgan_756,11.0
atompair_1376,11.0
morgan_429,11.0
torsion_1212,11.0
morgan_862,11.0
morgan_853,11.0
morgan_1696,11.0
torsion_1388,11.0
torsion_1345,11.0
torsion_1776,11.0
morgan_721,11.0
morgan_747,11.0
morgan_1920,11.0
atompair_665,11.0
morgan_2029,11.0
atompair_760,11.0
atompair_1212,11.0
atompair_1083,11.0
maccs_104,11.0
maccs_78,11.0
atompair_1908,11.0
morgan_1602,11.0
atompair_1884,11.0
atompair_904,11.0
desc_NumAtomStereoCenters,11.0
morgan_921,11.0
morgan_364,11.0
morgan_932,11.0
morgan_1535,11.0
morgan_1506,11.0
torsion_120,11.0
morgan_1448,11.0
morgan_504,11.0
morgan_466,11.0
desc_fr_amidine,11.0
torsion_465,11.0
atompair_1284,11.0
torsion_565,11.0
torsion_592,10.0
morgan_344,10.0
torsion_1452,10.0
atompair_1504,10.0
desc_fr_nitro,10.0
morgan_1989,10.0
atompair_32,10.0
maccs_162,10.0
morgan_786,10.0
morgan_1879,10.0
atompair_892,10.0
morgan_1870,10.0
atompair_424,10.0
atompair_501,10.0
atompair_1864,10.0
atompair_1248,10.0
morgan_140,10.0
atompair_432,10.0
atompair_1962,10.0
morgan_849,10.0
atompair_592,10.0
atompair_1041,10.0
morgan_1032,10.0
morgan_1028,10.0
maccs_144,10.0
torsion_308,10.0
atompair_537,10.0
maccs_94,10.0
torsion_620,10.0
