model,average_mae,average_rmse,average_r2,homo_mae,homo_r2,lumo_mae,lumo_r2,gap_mae,gap_r2,homo_rmse,lumo_rmse,gap_rmse
Tuned_LGBM,0.1596478487680887,0.2252873232602116,0.8853385942334663,0.13687209834456363,0.8530433291797528,0.14628876438622157,0.92288078082961,0.1957826835734809,0.8800916726910359,0.18927292480141436,0.2092538592838399,0.27733518569538057
PerTarget_LGBM,0.1596478487680887,0.2252873232602116,0.8853385942334663,0.13687209834456363,0.8530433291797528,0.14628876438622157,0.92288078082961,0.1957826835734809,0.8800916726910359,0.18927292480141436,0.2092538592838399,0.27733518569538057
Tuned_XGB,0.16158095498879751,0.2289076272526015,0.881693422794342,0.13848979771137238,0.8484727740287781,0.14887933433055878,0.9196456074714661,0.19737373292446136,0.876961886882782,0.19219370808692876,0.2135978814697306,0.2809312922011451
HistGBT,0.16924668331700224,0.2351746764621175,0.8761457571333588,0.14249776111439147,0.846130075320983,0.1585802533525639,0.9126612548290876,0.2066620354840514,0.8696459412500057,0.19367372760869883,0.22268739688267658,0.28916290489497704
Phase3_baseline(no_select),0.1706,0.2353,0.8755,0.1448,0.8437,0.1569,0.9154,0.2102,0.8675,,,
CatBoost,0.1859078574066115,0.24874149792905698,0.8604451941824113,0.157909787642915,0.8223449944490878,0.17177861098047822,0.9059181586971717,0.2280351735964413,0.8530724294009742,0.20810502408708337,0.23112401264206434,0.3069954570580233
