epoch,train_loss,val_mae,lr,time_s
1,0.6489207599957784,0.3495979309082031,0.001,6.3775012493133545
2,0.5064958811601002,0.3078736662864685,0.001,5.9559266567230225
3,0.4624830505847931,0.3326987624168396,0.001,5.89260458946228
4,0.439341744184494,0.2723393142223358,0.001,6.249951362609863
5,0.42047919368743897,0.2629847526550293,0.001,6.201335430145264
6,0.4062799003124237,0.24986708164215088,0.001,6.237011194229126
7,0.39686646445592244,0.2519906163215637,0.001,6.204062461853027
8,0.38649034984906516,0.23918679356575012,0.001,6.037452220916748
9,0.37891989398002623,0.24336086213588715,0.001,6.017264366149902
10,0.3698908514181773,0.23021022975444794,0.001,6.055199146270752
11,0.3645497449239095,0.22396299242973328,0.001,6.1375510692596436
12,0.35614159552256264,0.22446326911449432,0.001,6.258372068405151
13,0.3554904627799988,0.21238750219345093,0.001,5.891649484634399
14,0.3488667828241984,0.21470481157302856,0.001,5.89448094367981
15,0.3437500156561534,0.2117968201637268,0.001,5.970448732376099
16,0.34137035854657494,0.21530579030513763,0.001,5.967003107070923
17,0.339719717502594,0.20870350301265717,0.001,6.0851781368255615
18,0.3353316931327184,0.21624019742012024,0.001,6.075995683670044
19,0.33045713980992636,0.20621627569198608,0.001,6.024993896484375
20,0.3293755238056183,0.20406436920166016,0.001,5.9961512088775635
21,0.3255445370674133,0.20239679515361786,0.001,5.95786452293396
22,0.32164975253740946,0.21926282346248627,0.001,6.15755820274353
23,0.32210514712333677,0.19928984344005585,0.001,5.997603893280029
24,0.3195248988469442,0.20241396129131317,0.001,5.990750551223755
25,0.3176696901718775,0.19537948071956635,0.001,5.9443488121032715
26,0.3166837105353673,0.1946316510438919,0.001,6.003976821899414
27,0.3130941361586253,0.19947005808353424,0.001,5.971151113510132
28,0.31057614652315774,0.19589363038539886,0.001,6.011961460113525
29,0.3096239780187607,0.19108034670352936,0.001,5.948857307434082
30,0.3073943535089493,0.18993325531482697,0.001,6.087991237640381
31,0.30485904264450076,0.18883025646209717,0.001,6.176101446151733
32,0.3028854468663534,0.1919219195842743,0.001,6.2725303173065186
33,0.3007793401082357,0.1896909773349762,0.001,6.211406946182251
34,0.3004045104980469,0.1853235960006714,0.001,6.185266733169556
35,0.2976605141957601,0.18415981531143188,0.001,6.2336413860321045
36,0.2953027408123016,0.188514843583107,0.001,6.223530530929565
37,0.2937137043873469,0.18561403453350067,0.001,6.190274238586426
38,0.29308984144528705,0.1856706291437149,0.001,5.9763288497924805
39,0.2903153714736303,0.18552422523498535,0.001,5.853667736053467
40,0.2907644417285919,0.18424086272716522,0.001,5.892228603363037
41,0.2891878967682521,0.18516592681407928,0.001,5.863629341125488
42,0.28808913282553356,0.188596710562706,0.001,5.872560501098633
43,0.2854270687898,0.18754570186138153,0.001,5.975404262542725
44,0.2848367275396983,0.1854006052017212,0.001,6.171176910400391
45,0.28351588638623554,0.18294323980808258,0.001,6.180821180343628
46,0.282893959403038,0.1828165203332901,0.001,6.14557957649231
47,0.2815494192838669,0.18045587837696075,0.001,6.149021863937378
48,0.28090116230646767,0.18177160620689392,0.001,5.902851581573486
49,0.2792822060585022,0.17824478447437286,0.001,5.960473299026489
50,0.2790609847307205,0.17912286520004272,0.001,5.962350845336914
51,0.27661722668011984,0.17755766212940216,0.001,5.969902992248535
