model,average_mae,average_r2,homo_mae,homo_r2,lumo_mae,lumo_r2,gap_mae,gap_r2
Phase3_best(LGBM),0.1596,0.8853,,,,,,
lgbm,0.1596478487680887,0.8853385942334663,0.13687209834456363,0.8530433291797528,0.14628876438622157,0.92288078082961,0.1957826835734809,0.8800916726910359
xgb,0.16158095498879751,0.881693422794342,0.13848979771137238,0.8484727740287781,0.14887933433055878,0.9196456074714661,0.19737373292446136,0.876961886882782
hgbt,0.16924668331700224,0.8761457571333588,0.14249776111439147,0.846130075320983,0.1585802533525639,0.9126612548290876,0.2066620354840514,0.8696459412500057
Blend_weighted,0.15825927754283547,0.886692074537498,0.1356901239854028,0.8548035936936244,0.14513359516835264,0.9237086386442378,0.19395411347475094,0.8815639912746318
Blend_average,0.15960866612141444,0.8861146024465011,0.1359747651984798,0.8553960072143445,0.14713860472548398,0.9224230985061902,0.19571262844027956,0.8805247016189686
Stack_ridge,0.15548325261435658,0.8905962563538545,0.13405672640433622,0.858352068111897,0.14335202808365777,0.9263850171147942,0.1890410033550758,0.8870516838348723
