epoch,train_loss,val_mae,lr,time_s
1,0.6218005615554546,0.3841833770275116,0.0005,10.663600444793701
2,0.48646605900409706,0.2909710705280304,0.0005,10.223715782165527
3,0.40857030842354625,0.2528126537799835,0.0005,10.23328185081482
4,0.3635145030515362,0.2614262104034424,0.0005,10.187885999679565
5,0.333093392458595,0.23442672193050385,0.0005,10.220440864562988
6,0.31258938341181103,0.2067730575799942,0.0005,10.187813758850098
7,0.27231779441348647,0.19114331901073456,0.0005,10.14798641204834
8,0.2618826923145431,0.18516886234283447,0.0005,10.166210412979126
9,0.25542642743820476,0.1821652501821518,0.0005,10.147978782653809
10,0.2461431623089133,0.1873951256275177,0.0005,10.219541311264038
11,0.23914249521273007,0.176713764667511,0.0005,10.249930143356323
12,0.2171859130367072,0.16927169263362885,0.0005,10.19666838645935
13,0.2032879037097579,0.16512267291545868,0.0005,10.205655574798584
14,0.19819914615096618,0.16913478076457977,0.0005,10.153987646102905
15,0.19508111762844935,0.16839025914669037,0.0005,10.137334823608398
16,0.19134126578195537,0.16633227467536926,0.0005,10.121696710586548
17,0.18320466846497255,0.1659570187330246,0.0005,10.149036884307861
18,0.186015320000272,0.16564084589481354,0.0005,10.18782114982605
19,0.18164126025587748,0.1675000786781311,0.0005,10.216927766799927
20,0.17743168370022094,0.16480806469917297,0.0005,10.224540710449219
21,0.1733446755367793,0.16744929552078247,0.0005,10.20530104637146
22,0.16827282279589448,0.16523724794387817,0.0005,10.210017919540405
23,0.16357430106700374,0.16468112170696259,0.0005,10.178268671035767
24,0.15989738699481593,0.16405923664569855,0.0005,10.152770280838013
25,0.15542613153383195,0.16762271523475647,0.0005,10.185651779174805
26,0.18808814896898918,0.18058498203754425,0.0005,10.141839504241943
27,0.1759680463528779,0.1653013825416565,0.0005,10.213101863861084
28,0.16537706928157855,0.16822026669979095,0.0005,10.199759006500244
29,0.157075874963712,0.16431878507137299,0.0005,10.22244644165039
30,0.1518826293680425,0.16136197745800018,0.0005,10.20318603515625
31,0.14639010057229132,0.16185666620731354,0.0005,10.216212511062622
32,0.1406141324893995,0.161285862326622,0.0005,10.158328533172607
33,0.13839489997660787,0.16076916456222534,0.0005,10.140290260314941
34,0.133581795283235,0.16033273935317993,0.0005,10.1460599899292
35,0.13019295050086824,0.16025203466415405,0.0005,10.16084623336792
36,0.12726268421124115,0.16084808111190796,0.0005,10.204796552658081
37,0.12639222874341047,0.16413381695747375,0.0005,10.216978311538696
38,0.12337830947618027,0.1594586968421936,0.0005,10.216856956481934
39,0.12277103670498347,0.1624106615781784,0.0005,10.212084531784058
40,0.120803688193772,0.1605493426322937,0.0005,10.217518329620361
41,0.11882946601551173,0.1607581526041031,0.0005,10.141512393951416
42,0.11472504980330689,0.16024404764175415,0.0005,10.146405935287476
43,0.1152721457865148,0.15949852764606476,0.0005,10.176890134811401
44,0.11526115685477732,0.15855340659618378,0.0005,10.188532590866089
45,0.11174024645023707,0.1564992368221283,0.0005,10.1981782913208
46,0.1121356052452484,0.15814846754074097,0.0005,10.214392185211182
47,0.1101183604740851,0.1555132269859314,0.0005,10.218783855438232
48,0.10893706071879738,0.15795408189296722,0.0005,10.249069213867188
49,0.10862288339219683,0.15995004773139954,0.0005,10.15983510017395
50,0.10732806597623898,0.15628744661808014,0.0005,10.1741623878479
51,0.10604367888390748,0.15716981887817383,0.0005,10.137854814529419
52,0.10345379848319106,0.15414443612098694,0.0005,10.158142328262329
53,0.10394891905867602,0.1603498011827469,0.0005,10.178557634353638
54,0.10383593866074871,0.16139262914657593,0.0005,10.245235204696655
55,0.10233430135514482,0.15650595724582672,0.0005,10.218827724456787
56,0.10182511347376719,0.1573808491230011,0.0005,10.224381923675537
57,0.10172061875320274,0.15736205875873566,0.0005,10.187702417373657
58,0.09884425464635663,0.15449608862400055,0.0005,10.159989595413208
59,0.09738567298401757,0.15611769258975983,0.0005,10.138952732086182
60,0.09683794740112396,0.1535481959581375,0.0005,10.163313627243042
61,0.09766552730287135,0.15527039766311646,0.0005,10.149210691452026
62,0.09678003238974156,0.15699493885040283,0.0005,10.189966678619385
63,0.12065748054495837,0.16509507596492767,0.0005,10.198120594024658
64,0.12821561009202428,0.1606280654668808,0.0005,10.205821990966797
65,0.11793376268690771,0.16676601767539978,0.0005,10.218456029891968
