model,split,homo_mae,homo_rmse,homo_r2,lumo_mae,lumo_rmse,lumo_r2,gap_mae,gap_rmse,gap_r2,average_mae,average_rmse,average_r2
ridge,valid,0.17628318071365356,0.23192259913033797,0.822115421295166,0.21081408858299255,0.2780233572488856,0.911745011806488,0.2646774649620056,0.35488945005315836,0.8678229451179504,0.2172582447528839,0.288278468810794,0.8672277927398682
ridge,test,0.17027556896209717,0.23719593585948803,0.835128664970398,0.20821765065193176,0.2933366754031709,0.8967105746269226,0.27240949869155884,0.393450398979804,0.8306388854980469,0.21696757276852927,0.3079943367474876,0.8541593750317892
extratrees,valid,0.1719755362294626,0.2508956899443859,0.791820228952324,0.1722240873772595,0.26478100242282926,0.919952049117652,0.20148791137169317,0.30110177404597804,0.9048526946693713,0.1818958449928051,0.2722594888043977,0.8722083242464492
extratrees,test,0.16775443211078636,0.25497388906274776,0.8094880941029539,0.158415951611787,0.26104368351933277,0.9182007023831424,0.19407141580780354,0.3237083645929324,0.8853585667658616,0.1734139331767923,0.27990864572500435,0.8710157877506526
randomforest,valid,0.18695811904394818,0.26164655645904267,0.7735970028932434,0.18968595560256823,0.28557029695740527,0.906888646160475,0.2231845945842473,0.32710491294652183,0.8877092458460737,0.1999428897435879,0.29144058878765655,0.8560649649665973
randomforest,test,0.18157068784192007,0.2718931543983777,0.7833656841917975,0.17675952995426847,0.2771509990107912,0.9077946558354153,0.2144307152284905,0.342749189385301,0.8714752889214779,0.19092031100822635,0.2972644475981567,0.8542118763162302
lightgbm,valid,0.14192914961690603,0.1949062616003921,0.874367006441499,0.1522334830982816,0.21620020338610793,0.9466310361192168,0.20033410582070915,0.2819703242488844,0.9165595433984857,0.16483224617863226,0.2310255964117948,0.9125191953197338
lightgbm,test,0.13717014337346242,0.19968691246382286,0.883149679107452,0.15116852960388774,0.2199436959965946,0.9419307477063851,0.18764344775511232,0.2954800789366284,0.904480910003645,0.15866070691082082,0.23837022913234862,0.9098537789391606
