Device: cuda | kind=schnet
  embed batch 3681/3888 (157s)
  embed batch 3701/3888 (157s)
  embed batch 3721/3888 (158s)
  embed batch 3741/3888 (158s)
  embed batch 3761/3888 (159s)
  embed batch 3781/3888 (160s)
  embed batch 3801/3888 (160s)
  embed batch 3821/3888 (161s)
  embed batch 3841/3888 (162s)
  embed batch 3861/3888 (163s)
  embed batch 3881/3888 (163s)
  embed batch 3888/3888 (164s)
Embeddings -> results\phase8\schnet_expansion_500k_embeddings.pt (497578, 192)
