step,elements,mw_range,n_molecules,n_features,homo_mae,homo_rmse,homo_r2,lumo_mae,lumo_rmse,lumo_r2,gap_mae,gap_rmse,gap_r2,average_mae,average_rmse,average_r2
step0_chon_mw200_300,"C,H,N,O",200-300,10000,5429,0.13709179358791437,0.19503935534200495,0.8771892566651658,0.1536623167538558,0.22372861218628012,0.9369364161643129,0.19445722022617287,0.2904100191623943,0.8896028921584033,0.16173711018931436,0.23639266223022645,0.9012428549959606
step1_chon_mw200_500,"C,H,N,O",200-500,10000,5688,0.13069894270549987,0.18740075260418187,0.8495046931589296,0.15812885433763818,0.23384686749949193,0.9305335219916476,0.19965558429036473,0.2895264171104927,0.8859077713852029,0.16282779377783427,0.2369246790713888,0.8886486621785933
step2_chons_mw200_500,"C,H,N,O,S",200-500,10000,5771,0.14769696641855312,0.20941284161855925,0.8237981779037438,0.1539750831266764,0.22893206155895038,0.9241138260296826,0.19948649483036457,0.29009817596151466,0.8886526651787151,0.16705284812519805,0.2428143597130081,0.8788548897040472
step3_chonsf_mw200_500,"C,F,H,N,O,S",200-500,10000,5830,0.15198265799172186,0.22372602426929336,0.8172306651059229,0.15589559067116765,0.22323068650612182,0.9311648094842143,0.2118475689394539,0.31160790929894355,0.8842323502091074,0.17324193920078113,0.25285487335811957,0.877542608266415
step4_chonsfcl_mw200_500,"C,Cl,F,H,N,O,S",200-500,10000,5874,0.14403693991202546,0.2108862608143334,0.8488673328324048,0.16640133188264866,0.24678481296370955,0.9077454513625051,0.2158569386465597,0.3218705775258725,0.864098542023715,0.17543173681374458,0.25984721710130515,0.873570442072875
