target,feature,feature_type,coef,abs_coef,abs_coef_norm
gap,desc_NumValenceElectrons,rdkit_desc,0.8620544672012329,0.8620544672012329,0.023418720811605453
gap,desc_MinPartialCharge,rdkit_desc,0.7475515604019165,0.7475515604019165,0.02030811458826065
gap,desc_MaxAbsPartialCharge,rdkit_desc,0.7254084944725037,0.7254084944725037,0.019706571474671364
gap,desc_Phi,rdkit_desc,0.7234237790107727,0.7234237790107727,0.019652655348181725
gap,desc_MaxPartialCharge,rdkit_desc,-0.6376043558120728,0.6376043558120728,0.01732126995921135
gap,desc_MinAbsPartialCharge,rdkit_desc,0.6320906281471252,0.6320906281471252,0.017171483486890793
gap,desc_Kappa2,rdkit_desc,-0.621056854724884,0.621056854724884,0.0168717373162508
gap,desc_fr_NH0,rdkit_desc,-0.5709608793258667,0.5709608793258667,0.015510821714997292
gap,desc_MolMR,rdkit_desc,0.5345860719680786,0.5345860719680786,0.014522657729685307
gap,desc_Chi0,rdkit_desc,-0.5034219622612,0.5034219622612,0.013676047325134277
gap,desc_Chi1n,rdkit_desc,-0.4481923282146454,0.4481923282146454,0.012175669893622398
gap,desc_Chi1v,rdkit_desc,-0.44819149374961853,0.44819149374961853,0.012175647541880608
gap,desc_SMR_VSA5,rdkit_desc,0.4257675111293793,0.4257675111293793,0.011566473171114922
gap,desc_VSA_EState3,rdkit_desc,-0.39668312668800354,0.39668312668800354,0.010776362381875515
gap,desc_fr_benzene,rdkit_desc,0.37893593311309814,0.37893593311309814,0.010294239036738873
gap,desc_HallKierAlpha,rdkit_desc,-0.35519954562187195,0.35519954562187195,0.009649411775171757
gap,desc_fr_NH1,rdkit_desc,-0.3353767991065979,0.3353767991065979,0.009110904298722744
gap,desc_SMR_VSA7,rdkit_desc,-0.3131875991821289,0.3131875991821289,0.0085081085562706
gap,desc_fr_nitro,rdkit_desc,0.3007998764514923,0.3007998764514923,0.008171581663191319
gap,desc_HeavyAtomCount,rdkit_desc,-0.2711481750011444,0.2711481750011444,0.007366057951003313
gap,desc_SMR_VSA3,rdkit_desc,0.26375341415405273,0.26375341415405273,0.00716517074033618
gap,desc_Chi0n,rdkit_desc,-0.25804975628852844,0.25804975628852844,0.007010224275290966
gap,desc_Chi0v,rdkit_desc,-0.2576480805873871,0.2576480805873871,0.0069993119686841965
gap,desc_SMR_VSA10,rdkit_desc,-0.25115638971328735,0.25115638971328735,0.006822957657277584
gap,desc_LabuteASA,rdkit_desc,0.23689842224121094,0.23689842224121094,0.00643562339246273
gap,desc_MolWt,rdkit_desc,0.22391529381275177,0.22391529381275177,0.006082921288907528
gap,desc_ExactMolWt,rdkit_desc,0.22356298565864563,0.22356298565864563,0.006073350552469492
gap,desc_BCUT2D_MRHI,rdkit_desc,-0.2079637497663498,0.2079637497663498,0.005649579223245382
gap,desc_VSA_EState2,rdkit_desc,-0.2048734575510025,0.2048734575510025,0.0055656274780631065
gap,desc_TPSA,rdkit_desc,-0.19926509261131287,0.19926509261131287,0.0054132696241140366
gap,desc_SMR_VSA4,rdkit_desc,0.19834750890731812,0.19834750890731812,0.005388342775404453
gap,desc_NumHDonors,rdkit_desc,0.180788055062294,0.180788055062294,0.004911319352686405
gap,desc_FpDensityMorgan2,rdkit_desc,0.17455759644508362,0.17455759644508362,0.004742061719298363
gap,desc_VSA_EState1,rdkit_desc,-0.16964103281497955,0.16964103281497955,0.004608497489243746
gap,desc_Kappa1,rdkit_desc,-0.16937196254730225,0.16937196254730225,0.004601188004016876
gap,desc_HeavyAtomMolWt,rdkit_desc,-0.16207215189933777,0.16207215189933777,0.0044028800912201405
gap,desc_FpDensityMorgan3,rdkit_desc,-0.16089676320552826,0.16089676320552826,0.0043709492310881615
gap,desc_SMR_VSA2,rdkit_desc,0.15721610188484192,0.15721610188484192,0.00427095964550972
gap,desc_MolLogP,rdkit_desc,0.15402348339557648,0.15402348339557648,0.004184228368103504
gap,desc_BCUT2D_CHGHI,rdkit_desc,0.15238991379737854,0.15238991379737854,0.004139850847423077
gap,desc_BalabanJ,rdkit_desc,-0.1516937017440796,0.1516937017440796,0.004120937082916498
gap,desc_Chi2v,rdkit_desc,-0.14958946406841278,0.14958946406841278,0.004063772968947887
gap,desc_Chi2n,rdkit_desc,-0.14958736300468445,0.14958736300468445,0.004063716158270836
gap,desc_fr_nitrile,rdkit_desc,0.1492706835269928,0.1492706835269928,0.004055113065987825
gap,morgan_753,morgan,-0.1486707478761673,0.1486707478761673,0.0040388149209320545
gap,desc_fr_amide,rdkit_desc,0.1479799896478653,0.1479799896478653,0.004020049702376127
gap,desc_NumAmideBonds,rdkit_desc,0.1478765308856964,0.1478765308856964,0.004017239436507225
gap,desc_SMR_VSA6,rdkit_desc,0.14183270931243896,0.14183270931243896,0.0038530519232153893
gap,desc_NumHAcceptors,rdkit_desc,0.13830506801605225,0.13830506801605225,0.003757219295948744
gap,desc_FractionCSP3,rdkit_desc,0.13802196085453033,0.13802196085453033,0.003749528434127569
gap,desc_fr_COO2,rdkit_desc,0.131696417927742,0.131696417927742,0.003577687544748187
gap,desc_SMR_VSA9,rdkit_desc,-0.1316501349210739,0.1316501349210739,0.003576430259272456
gap,morgan_1380,morgan,-0.13044485449790955,0.13044485449790955,0.0035436872858554125
