feature_type,gain_norm_sum,split_norm_sum,mean_gain_norm,n_nonzero_gain,n_features,gain_norm_mean_over_targets,split_norm_mean_over_targets
morgan,0.2776139796054676,0.8535333333333334,4.518456699307741e-05,2228,6144,0.09253799320182253,0.2845111111111111
rdkit_desc,2.7223860203945325,2.1464666666666665,0.004629908197949885,516,588,0.9074620067981775,0.7154888888888888
